"SR";"TI";"TI_TM"
"MAZIQUE R, 2022, PALGRAVE Handb. Reprod. Justice Lit.";"REPRODUCTIVE AND DISABILITY JUSTICE: DEAF PEOPLES’ RIGHT TO BE BORN";"DISABILITY JUSTICE;JUSTICE DEAF;DEAF PEOPLES"
"MAZIWISA MR, 2022, AFR J INT COMP LAW";"ENGENDERING LEGAL AND INSTITUTIONAL REFORMS TO ENSURE ACCESS TO REPRODUCTIVE JUSTICE FOR WOMEN IN ZIMBABWE: A CASE STUDY OF THE <I>MAPINGURE</I> CASE";"ENGENDERING LEGAL;INSTITUTIONAL REFORMS;ENSURE ACCESS;REPRODUCTIVE JUSTICE"
"MCALLISTER A, 2023, CLIN OBSTET GYNECOL";"ACHIEVING EQUITY IN POSTPARTUM CONTRACEPTION ACCESS";"ACHIEVING EQUITY;POSTPARTUM CONTRACEPTION;CONTRACEPTION ACCESS"
"MCCARTHY J, 2016, ETHICAL AND LEGAL DEBATES IN IRISH HEALTHCARE: CONFRONTING COMPLEXITIES";"REPRODUCTIVE JUSTICE IN IRELAND: A FEMINIST ANALYSIS OF THE NEARY AND HALAPPANAVAR CASES";"REPRODUCTIVE JUSTICE;FEMINIST ANALYSIS"
"MCEWEN H, 2024, US Christ. Right PRO-Fam. POLITICS 21ST Century Afr.";"THE U.S. CHRISTIAN RIGHT AND PRO-FAMILY POLITICS IN 21ST CENTURY AFRICA";"PRO-FAMILY POLITICS;ST CENTURY;CENTURY AFRICA"
"MCFADDEN M, 2022, J HUM RIGHTS SOC WORK";"PREGNANT MIGRANT LATINAS AT THE US BORDER: A REPRODUCTIVE JUSTICE INFORMED ANALYSIS OF ICE HEALTH SERVICE POLICY DURING ``ZERO-TOLERANCE''";"PREGNANT MIGRANT;MIGRANT LATINAS;REPRODUCTIVE JUSTICE;JUSTICE INFORMED;INFORMED ANALYSIS;ICE HEALTH;HEALTH SERVICE;SERVICE POLICY"
"MCGEE JA, 2020, ENVIR SOCIOL";"GENDER INEQUALITY, REPRODUCTIVE JUSTICE, AND DECOUPLING ECONOMIC GROWTH AND EMISSIONS: A PANEL ANALYSIS OF THE MODERATING ASSOCIATION OF GENDER EQUALITY ON THE RELATIONSHIP BETWEEN ECONOMIC GROWTH AND CO2 EMISSIONS";"GENDER INEQUALITY;INEQUALITY REPRODUCTIVE;REPRODUCTIVE JUSTICE;DECOUPLING ECONOMIC;ECONOMIC GROWTH;PANEL ANALYSIS;MODERATING ASSOCIATION;GENDER EQUALITY;ECONOMIC GROWTH"
"MCGLOTHEN-BELL K, 2023, JOGNN";"INTERSECTIONAL EXAMINATION OF GENDER-INCLUSIVE CARE AND WOMEN'S HEALTH";"INTERSECTIONAL EXAMINATION;GENDER-INCLUSIVE CARE;WOMENS HEALTH"
"MCGLOTHEN-BELL K, 2023, NURS RES";"APPLYING A REPRODUCTIVE JUSTICE LENS TO ENHANCE RESEARCH ENGAGEMENT AMONG SYSTEMATICALLY UNDERREPRESENTED CHILDBEARING WOMEN";"REPRODUCTIVE JUSTICE;JUSTICE LENS;ENHANCE RESEARCH;RESEARCH ENGAGEMENT;SYSTEMATICALLY UNDERREPRESENTED;UNDERREPRESENTED CHILDBEARING;CHILDBEARING WOMEN"
"MCKEE KD, 2023, Fem. Form.";"“IT CAME, OVER AND OVER, DOWN TO THIS: WHAT MADE SOMEONE A MOTHER?”: A REPRODUCTIVE JUSTICE ANALYSIS OF LITTLE FIRES EVERYWHERE";"REPRODUCTIVE JUSTICE;JUSTICE ANALYSIS"
"MCKENNA M, 2024, MATERN CHILD HEALTH J";"MASS INCARCERATION, MATERNAL VULNERABILITY, AND BIRTH OUTCOMES ACROSS US COUNTIES";"MASS INCARCERATION;INCARCERATION MATERNAL;MATERNAL VULNERABILITY;BIRTH OUTCOMES"
"MCKENZIE HA, 2022, QUAL HEALTH RES";"INDIGENOUS WOMEN'S RESISTANCE OF COLONIAL POLICIES, PRACTICES, AND REPRODUCTIVE COERCION";"INDIGENOUS WOMENS;WOMENS RESISTANCE;COLONIAL POLICIES;POLICIES PRACTICES;REPRODUCTIVE COERCION"
"MCKENZIE HA, 2022, WOMEN'S Health CANADA: CHALLENGES Intersect. Second. Ed.";"REPRODUCTIVE POLITICS: REPRODUCTIVE CHOICE TO REPRODUCTIVE JUSTICE";"REPRODUCTIVE POLITICS;POLITICS REPRODUCTIVE;REPRODUCTIVE CHOICE;REPRODUCTIVE JUSTICE"
"MCKINLEY BD, 2023, SMITH COLL STUD SOC WORK";"WADE IN THE WATER: SUGGESTIONS FOR CENTERING REPRODUCTIVE JUSTICE IN SOCIAL WORK EDUCATION, PRACTICE, AND ORGANIZING";"WATER SUGGESTIONS;CENTERING REPRODUCTIVE;REPRODUCTIVE JUSTICE;EDUCATION PRACTICE"
"MCKNIGHT U, 2024, MONASH BIOETH REV";"TREATING <I>MYCOPLASMA GENITALIUM</I> (IN PREGNANCY): A SOCIAL AND REPRODUCTIVE JUSTICE CONCERN";"TREATING IMYCOPLASMA;IMYCOPLASMA GENITALIUMI;REPRODUCTIVE JUSTICE;JUSTICE CONCERN"
"MCLEMORE MR, 2022, J PERINAT NEONATAL NURS";"USING RETROFIT, REFORM, AND REIMAGINE TO ADVANCE TOWARD HEALTH EQUITY";"RETROFIT REFORM;HEALTH EQUITY"
"MCLEOD C, 2017, INT J FEM APPROACHES BIOETH";"DOES REPRODUCTIVE JUSTICE DEMAND INSURANCE COVERAGE FOR IVF? REFLECTIONS ON THE WORK OF ANNE DONCHIN";"REPRODUCTIVE JUSTICE;JUSTICE DEMAND;DEMAND INSURANCE;INSURANCE COVERAGE;IVF REFLECTIONS;ANNE DONCHIN"
"MCMAHON HV, 2024, HEALTH EQUITY";"MY HEALTH IN MY HANDS: IMPROVING MEDICATION ABORTION KNOWLEDGE AND CLOSING DISPARITIES WITH A COMMUNITY-LED MEDIA INTERVENTION";"HANDS IMPROVING;IMPROVING MEDICATION;MEDICATION ABORTION;ABORTION KNOWLEDGE;CLOSING DISPARITIES;COMMUNITY-LED MEDIA;MEDIA INTERVENTION"
"MCMURTERY RE, 2024, JBI EVID SYNTH";"COUNSELOR BIAS AND CONTRACEPTIVE COUNSELING FOR WOMEN: A SCOPING REVIEW PROTOCOL";"COUNSELOR BIAS;CONTRACEPTIVE COUNSELING;SCOPING REVIEW;REVIEW PROTOCOL"
"MCNAMARA K, 2023, J MIDWIFERY WOMEN HEALTH";"PRIVILEGING MIDWIVES FOR ABORTION CARE";"PRIVILEGING MIDWIVES;ABORTION CARE"
"MEADOWS L, 2023, AOTEAROA N Z SOC WORK";"ABORTION COUNSELLING CONTROVERSIES AND THE PRECARIOUS ROLE OF SOCIAL WORK: RESEARCH AND REFLECTIONS FROM AOTEAROA NEW ZEALAND";"ABORTION COUNSELLING;COUNSELLING CONTROVERSIES;PRECARIOUS ROLE"
"MEGREGIAN M, 2021, MIDWIFERY";"ESSENTIAL COMPONENTS OF MIDWIFERY ETHICS EDUCATION: RESULTS OF A DELPHI STUDY";"ESSENTIAL COMPONENTS;MIDWIFERY ETHICS;ETHICS EDUCATION;EDUCATION RESULTS;DELPHI STUDY"
"MEHRA R, 2023, HEALTH SERV RES";"RACISM IS A MOTIVATOR AND A BARRIER FOR PEOPLE OF COLOR ASPIRING TO BECOME MIDWIVES IN THE UNITED STATES";"COLOR ASPIRING"
"MEIER S, 2019, WOMEN'S Reprod. Health";"BEYOND A LEGACY OF COERCION: LONG-ACTING REVERSIBLE CONTRACEPTION (LARC) AND SOCIAL JUSTICE";"COERCION LONG-ACTING;LONG-ACTING REVERSIBLE;REVERSIBLE CONTRACEPTION;CONTRACEPTION LARC;SOCIAL JUSTICE"
"MELVILLE L, 2023, AOTEAROA N Z SOC WORK";"``IT HELPED THAT I'M A MIDDLE CLASS, EDUCATED, WHITE LADY'': NORMATIVE BODIES WITHIN FERTILITY CLINICS";"MIDDLE CLASS;CLASS EDUCATED;EDUCATED WHITE;WHITE LADY;LADY NORMATIVE;NORMATIVE BODIES;FERTILITY CLINICS"
"MERCHANT EK, 2021, Build. Popul. BOMB";"BUILDING THE POPULATION BOMB";"POPULATION BOMB"
"MERIGGIOLA MC, 2024, ANDROLOGY";"CONTRACEPTIVE COUNSELING: SHARED DECISION ON CONTRACEPTIVE CHOICES";"CONTRACEPTIVE COUNSELING;COUNSELING SHARED;SHARED DECISION;CONTRACEPTIVE CHOICES"
"MESSING AJ, 2020, AM J PUBLIC HEALTH";"REPRODUCTIVE INJUSTICE AT THE US BORDER";"REPRODUCTIVE INJUSTICE"
"MICA A, 2023, SOCIOLOGICA";"EXPECTATIONS OF FAILURE: POLITICAL RISKS IN THE MORAL ECONOMY OF IGNORANCE AND SOCIAL INJUSTICE";"FAILURE POLITICAL;POLITICAL RISKS;MORAL ECONOMY;SOCIAL INJUSTICE"
"MILLATT A, 2024, J MIDWIFERY WOMEN HEALTH";"GIVING BIRTH WITH A MIDWIFE IN ATTENDANCE: ASSOCIATIONS OF RACE AND INSURANCE STATUS WITH CONTINUITY OF MIDWIFERY CARE IN PHILADELPHIA";"GIVING BIRTH;ATTENDANCE ASSOCIATIONS;INSURANCE STATUS;MIDWIFERY CARE"
"MILLER EA, 2024, GYNECOL ONCOL";"BEYOND THE DECISION: REPRODUCTIVE JUSTICE AND CERVICAL CANCER CARE IN A POST-DOBBS ERA";"DECISION REPRODUCTIVE;REPRODUCTIVE JUSTICE;CERVICAL CANCER;CANCER CARE;POST-DOBBS ERA"
"MILLS E, 2024, Fem. Anthropol.";"PLACE-BASED REPRODUCTIVE JUSTICE AND RESISTANCE: HUMAN RIGHTS AND ABORTION MOBILITIES IN THE POST-DOBBS ERA";"PLACE-BASED REPRODUCTIVE;REPRODUCTIVE JUSTICE;RESISTANCE HUMAN;HUMAN RIGHTS;ABORTION MOBILITIES;POST-DOBBS ERA"
"MILTON S, 2024, SOCIOL HEALTH ILL";"CRAFTING THE UNSAYABLE: MAKING MEANING OUT OF RACIALISED MATERNAL HEALTH-CARE ENCOUNTERS";"RACIALISED MATERNAL;MATERNAL HEALTH-CARE;HEALTH-CARE ENCOUNTERS"
"MIRANDA KK, 2020, FRONTIERS-J WOMEN STUD";"NONREPRODUCING WOMEN ON THE HANDMAID PROTESTS AND THE FAILURE OF COALITION POLITICS IN PERFORMANCE";"NONREPRODUCING WOMEN;HANDMAID PROTESTS;COALITION POLITICS"
"MISHLER K, 2021, EIRE-IREL";"``IT'S MOST PECULIAR THAT THIS PARTICULAR STORY DOESN'T GET TOLD'': A REPRODUCTIVE-JUSTICE ANALYSIS OF STORYTELLING IN THE REPEAL CAMPAIGN IN IRELAND, 2012-18";"STORY DOESNT;REPRODUCTIVE-JUSTICE ANALYSIS;REPEAL CAMPAIGN"
"MISRA G, 2019, BEYOND VIRTUE AND VICE: RETHINKING HUMAN RIGHTS AND CRIMINAL LAW";"CRIMINAL LAW, ACTIVISM, AND SEXUAL AND REPRODUCTIVE JUSTICE: WHAT WE CAN LEARN FROM THE SEX SELECTION CAMPAIGN IN INDIA";"CRIMINAL LAW;LAW ACTIVISM;REPRODUCTIVE JUSTICE;SEX SELECTION;SELECTION CAMPAIGN"
"MITRA S, 2021, ETHICAL CHALLENGES Organ TRANSPLANTATION: Curr. DEBATES Int. Perspect.";"TRANSPLANTING THE UTERUS: A REPRODUCTIVE JUSTICE PERSPECTIVE";"REPRODUCTIVE JUSTICE;JUSTICE PERSPECTIVE"
"MIWA E, 2022, WOMEN";"FAMILY CARE RELATIONSHIPS IN REPRODUCTIVE JUSTICE";"FAMILY CARE;CARE RELATIONSHIPS;REPRODUCTIVE JUSTICE"
"MMEJE O, 2015, INT J GYNECOL OBSTET";"A CALL TO ACTION FOR EVIDENCE-BASED SAFER CONCEPTION INTERVENTIONS FOR HIV-AFFECTED COUPLES DESIRING CHILDREN IN SUB-SAHARAN AFRICA";"EVIDENCE-BASED SAFER;SAFER CONCEPTION;CONCEPTION INTERVENTIONS;HIV-AFFECTED COUPLES;COUPLES DESIRING;DESIRING CHILDREN;SUB-SAHARAN AFRICA"
"MOLAS A, 2020, TAPUYA - LAT AM SCI TECHNOL SOC";"SELECTING WOMEN, TAMING BODIES? BODY ONTOLOGIES IN EGG DONATION PRACTICES IN SPAIN";"SELECTING WOMEN;WOMEN TAMING;TAMING BODIES;BODIES BODY;BODY ONTOLOGIES;EGG DONATION;DONATION PRACTICES"
"MONFORTI JL, 2014, J WOMEN POLIT POLICY";"GUARDING OUR BORDERS WITH GARDASIL: IMMIGRANT WOMEN AND PHYSICAL AUTONOMY";"GARDASIL IMMIGRANT;IMMIGRANT WOMEN;PHYSICAL AUTONOMY"
"MONIZ MH, 2017, OBSTET GYNECOL";"INPATIENT POSTPARTUM LONG-ACTING REVERSIBLE CONTRACEPTION <I>CARE THAT PROMOTES REPRODUCTIVE JUSTICE</I>";"INPATIENT POSTPARTUM;POSTPARTUM LONG-ACTING;LONG-ACTING REVERSIBLE;REVERSIBLE CONTRACEPTION;CONTRACEPTION ICARE;PROMOTES REPRODUCTIVE;REPRODUCTIVE JUSTICEI"
"MONIZ MH, 2022, CONTRACEPTION";"BALANCING ENHANCED CONTRACEPTIVE ACCESS WITH RISK OF REPRODUCTIVE INJUSTICE: A UNITED STATES COMPARATIVE CASE STUDY * , **";"BALANCING ENHANCED;ENHANCED CONTRACEPTIVE;CONTRACEPTIVE ACCESS;REPRODUCTIVE INJUSTICE"
"MONK C, 2022, AMER J OBSTET GYNECOL MFM";"THE TRANSITION TO PARENTHOOD IN OBSTETRICS: ENHANCING PRENATAL CARE FOR 2-GENERATION IMPACT";"OBSTETRICS ENHANCING;ENHANCING PRENATAL;PRENATAL CARE;GENERATION IMPACT"
"MONTOYA MN, 2022, INT J WOMENS HEALTH";"THE PROBLEMS WITH CRISIS PREGNANCY CENTERS: REVIEWING THE LITERATURE AND IDENTIFYING NEW DIRECTIONS FOR FUTURE RESEARCH";"CRISIS PREGNANCY;PREGNANCY CENTERS;CENTERS REVIEWING;FUTURE RESEARCH"
"MORADI B, 2023, PSYCHOL WOMEN Q";"<I>PSYCHOLOGY OF WOMEN QUARTERLY</I>: CITATION NETWORK ANALYSIS OF ITS LANDSCAPE AND EVOLUTION";"WOMEN QUARTERLYI;QUARTERLYI CITATION;CITATION NETWORK;NETWORK ANALYSIS"
"MORAIS 2024 CIÊNCIA &AMP; SAÚDE COLETIVA";"Mulheres com deficiência e a experiência da maternidade: revisão de escopo maternidade";"EXPERIÊNCIA DA;DA MATERNIDADE;MATERNIDADE REVISÃO;REVISÃO DE;DE ESCOPO;ESCOPO MATERNIDADE"
"MORAIS FRC, 2024, CIENC SAUDE COLETIVA";"WOMEN WITH DISABILITIES AND THEIR MOTHERHOOD: SCOPING REVIEW";"MOTHERHOOD SCOPING;SCOPING REVIEW"
"MORAN RL, 2021, GEND HIST";"A WOMEN'S HEALTH ISSUE?: FRAMING POST-ABORTION SYNDROME IN THE 1980S";"WOMENS HEALTH;HEALTH ISSUE;ISSUE FRAMING;FRAMING POST-ABORTION;POST-ABORTION SYNDROME"
"MORCELLE MTT, 2022, AM J LAW MED";"REFORMING MEDICAID COVERAGE TOWARD REPRODUCTIVE JUSTICE";"REFORMING MEDICAID;MEDICAID COVERAGE;REPRODUCTIVE JUSTICE"
"MORE ES, 2023, ROUTLEDGE Handb. Sex. Gend. Health RIGHTS: Second. Ed.";"‘SEX INVOLVES SOMETHING YOU ARE, NOT JUST SOMETHING YOU DO’: MARY CALDERONE AND THE FIGHT FOR SEXUAL HEALTH";"SEX INVOLVES;MARY CALDERONE;SEXUAL HEALTH"
"MORGAN LM, 2015, HEALTH HUM RIGHTS";"REPRODUCTIVE RIGHTS OR REPRODUCTIVE JUSTICE? LESSONS FROM ARGENTINA";"REPRODUCTIVE RIGHTS;REPRODUCTIVE JUSTICE;JUSTICE LESSONS"
"MORISON T, 2019, QUEER KINSHIP: South Afr. Perspect. Sex. POLITICS Fam.-Mak. Belon.";"‘LIVING TWO LIVES’ AND ‘BLENDING IN’: REPRODUCTIVE CITIZENSHIP AND BELONGING IN THE PARENTHOOD NARRATIVES OF GAY MEN";"REPRODUCTIVE CITIZENSHIP;PARENTHOOD NARRATIVES"
"MORISON T, 2019, SEX RES SOC POLICY";"RETHINKING `RISK' IN SEXUAL AND REPRODUCTIVE HEALTH POLICY: THE VALUE OF THE REPRODUCTIVE JUSTICE FRAMEWORK";"RETHINKING RISK;REPRODUCTIVE HEALTH;HEALTH POLICY;REPRODUCTIVE JUSTICE;JUSTICE FRAMEWORK"
"MORISON T, 2021, ROUTLEDGE Int. Handb. Crit. ISSUES Health Illn.";"REPRODUCTIVE JUSTICE: REVITALISING CRITICAL REPRODUCTIVE HEALTH RESEARCH";"REPRODUCTIVE JUSTICE;JUSTICE REVITALISING;REVITALISING CRITICAL;CRITICAL REPRODUCTIVE;REPRODUCTIVE HEALTH;HEALTH RESEARCH"
"MORISON T, 2021, SOC PERSONAL PSYCHOL COMPASS";"REPRODUCTIVE JUSTICE: A RADICAL FRAMEWORK FOR RESEARCHING SEXUAL AND REPRODUCTIVE ISSUES IN PSYCHOLOGY";"REPRODUCTIVE JUSTICE;RADICAL FRAMEWORK;RESEARCHING SEXUAL;REPRODUCTIVE ISSUES"
"MORISON T, 2021, WOMEN HEALTH";"WOMEN'S PERSPECTIVES ON LONG-ACTING REVERSIBLE CONTRACEPTION: A CRITICAL SCOPING REVIEW OF QUALITATIVE RESEARCH";"WOMENS PERSPECTIVES;LONG-ACTING REVERSIBLE;REVERSIBLE CONTRACEPTION;CRITICAL SCOPING;SCOPING REVIEW"
"MORISON T, 2023, PALGRAVE Handb. Power Gend. Psychol.";"REPRODUCTIVE JUSTICE: ILLUMINATING THE INTERSECTIONAL POLITICS OF SEXUAL AND REPRODUCTIVE ISSUES";"REPRODUCTIVE JUSTICE;JUSTICE ILLUMINATING;INTERSECTIONAL POLITICS;REPRODUCTIVE ISSUES"
"MORISON T, 2023, QUAL RES PSYCHOL";"USING REPRODUCTIVE JUSTICE AS A THEORETICAL FRAME UP IN QUALITATIVE RESEARCH IN PSYCHOLOGY";"REPRODUCTIVE JUSTICE;THEORETICAL FRAME"
"MORRELL E, 2022, ENVIRON JUSTICE";"SPATIALIZED INTERSECTIONALITY: GENDERED AND RACIALIZED RESIDENTIAL SEGREGATION AND THE MILWAUKEE LEAD CRISIS";"SPATIALIZED INTERSECTIONALITY;INTERSECTIONALITY GENDERED;RACIALIZED RESIDENTIAL;RESIDENTIAL SEGREGATION;MILWAUKEE LEAD;LEAD CRISIS"
"MORRIS SY, 2024, J LESBIAN STUD";"A DECOLONIZED MENTAL HEALTH FRAMEWORK FOR BLACK WOMEN AND BIRTHING PEOPLE";"DECOLONIZED MENTAL;MENTAL HEALTH;HEALTH FRAMEWORK;BLACK WOMEN;BIRTHING PEOPLE"
"MORSE JE, 2018, MATERN CHILD HEALTH J";"REPRODUCTIVE LIFE PLANNING: RAISING THE QUESTIONS";"REPRODUCTIVE LIFE;LIFE PLANNING;PLANNING RAISING"
"MOSLEY EA, 2015, ENVIRON JUSTICE";"WATER, HUMAN RIGHTS, AND REPRODUCTIVE JUSTICE: IMPLICATIONS FOR WOMEN IN DETROIT AND MONROVIA";"WATER HUMAN;HUMAN RIGHTS;REPRODUCTIVE JUSTICE;JUSTICE IMPLICATIONS"
"MOSLEY EA, 2020, CRIT PUBLIC HEATH";"ATTITUDES TOWARD ABORTION, SOCIAL WELFARE PROGRAMS, AND GENDER ROLES IN THE US AND SOUTH AFRICA";"ABORTION SOCIAL;SOCIAL WELFARE;WELFARE PROGRAMS;GENDER ROLES;SOUTH AFRICA"
"MOSLEY EA, 2021, J WOMENS HEALTH";"RACIAL DISPARITIES IN SEXUAL ASSAULT CHARACTERISTICS AND MENTAL HEALTH CARE AFTER SEXUAL ASSAULT MEDICAL FORENSIC EXAMS";"RACIAL DISPARITIES;SEXUAL ASSAULT;ASSAULT CHARACTERISTICS;MENTAL HEALTH;HEALTH CARE;SEXUAL ASSAULT;ASSAULT MEDICAL;MEDICAL FORENSIC;FORENSIC EXAMS"
"MOSLEY EA, 2022, FRONT GLOB WOMEN HEALTH";"COMMUNITY-LED RESEARCH FOR REPRODUCTIVE JUSTICE: EXPLORING THE SISTERLOVE GEORGIA MEDICATION ABORTION PROJECT";"COMMUNITY-LED RESEARCH;REPRODUCTIVE JUSTICE;JUSTICE EXPLORING;SISTERLOVE GEORGIA;GEORGIA MEDICATION;MEDICATION ABORTION;ABORTION PROJECT"
"MOSLEY EA, 2022, SEX REPROD HLTH MATTERS";"``<I>I DON'T REGRET IT AT ALL. IT'S JUST I WISH THE PROCESS HAD A BIT MORE HUMANITY TO IT HORIZONTAL ELLIPSIS A BIT MORE HOLISTIC</I>'': A QUALITATIVE, COMMUNITY-LED MEDICATION ABORTION STUDY WITH BLACK AND LATINX WOMEN IN GEORGIA, USA";"II DONT;DONT REGRET;HORIZONTAL ELLIPSIS;QUALITATIVE COMMUNITY-LED;COMMUNITY-LED MEDICATION;MEDICATION ABORTION;ABORTION STUDY;LATINX WOMEN;GEORGIA USA"
"MOSPAN C, 2022, J AM PHARM ASSOC";"PHARMACIST CONTRACEPTION SERVICES: ALL ABOUT ACCESS";"PHARMACIST CONTRACEPTION;CONTRACEPTION SERVICES"
"MUKHERJEE T, 2021, REPROD HEALTH";"REPRODUCTIVE JUSTICE IN THE TIME OF COVID-19: A SYSTEMATIC REVIEW OF THE INDIRECT IMPACTS OF COVID-19 ON SEXUAL AND REPRODUCTIVE HEALTH";"REPRODUCTIVE JUSTICE;SYSTEMATIC REVIEW;INDIRECT IMPACTS;REPRODUCTIVE HEALTH"
"MULINARI D, 2023, Struggl. Reprod. Justice ERA ANTI-GENDERISM Relig. Fundam.";"IN GREEN AND WHITE: FEMINIST STRUGGLES FOR ABORTION RIGHTS IN ARGENTINA";"WHITE FEMINIST;FEMINIST STRUGGLES;ABORTION RIGHTS"
"MULINARI P, 2023, Struggl. Reprod. Justice ERA ANTI-GENDERISM Relig. Fundam.";"EXPLORING SWEDISH 'FAMILY PLANNING': REPRODUCTIVE RACISM AND REPRODUCTIVE JUSTICE";"EXPLORING SWEDISH;SWEDISH FAMILY;FAMILY PLANNING;PLANNING REPRODUCTIVE;REPRODUCTIVE RACISM;REPRODUCTIVE JUSTICE"
"MUNIZ R, 2024, EDUC RESEARCHER";"THE NEED FOR EDUCATIONAL RESEARCH ENGAGEMENT WITH COURTS, PUBLIC POLICY, AND PRACTICE IN A POST-<I>DOBBS</I> ERA";"EDUCATIONAL RESEARCH;RESEARCH ENGAGEMENT;COURTS PUBLIC;PUBLIC POLICY;POST-IDOBBSI ERA"
"MURILLO LM, 2023, SIGNS";"<I>ESPANTA CIGUENAS</I>: RACE AND ABORTION IN THE US-MEXICO BORDERLANDS WINNER OF THE 2023 CATHARINE STIMPSON PRIZE FOR OUTSTANDING FEMINIST SCHOLARSHIP";"IESPANTA CIGUENASI;CIGUENASI RACE;US-MEXICO BORDERLANDS;BORDERLANDS WINNER;CATHARINE STIMPSON;STIMPSON PRIZE;OUTSTANDING FEMINIST;FEMINIST SCHOLARSHIP"
"MURPHY MK, 2017, WOMEN STUD COMMUN";"WHAT'S IN THE WORLD IS IN THE WOMB: CONVERGING ENVIRONMENTAL AND REPRODUCTIVE JUSTICE THROUGH SYNECDOCHE";"WOMB CONVERGING;CONVERGING ENVIRONMENTAL;REPRODUCTIVE JUSTICE"
"MURRAY J, 2014, IN SEARCH OF COMMON GROUND ON ABORTION: FROM CULTURE WAR TO REPRODUCTIVE JUSTICE";"IN SEARCH OF COMMON GROUND ON ABORTION FROM CULTURE WAR TO REPRODUCTIVE JUSTICE INTRODUCTION";"COMMON GROUND;CULTURE WAR;REPRODUCTIVE JUSTICE;JUSTICE INTRODUCTION"
"MURRAY M, 2021, HARV LAW REV";"RACE-ING ROE: REPRODUCTIVE JUSTICE, RACIAL JUSTICE, AND THE BATTLE FOR <I>ROE</I> <I>V</I>. <I>WADE</I>";"RACE-ING ROE;ROE REPRODUCTIVE;REPRODUCTIVE JUSTICE;JUSTICE RACIAL;RACIAL JUSTICE;IROEI IVI;IVI IWADEI"
"MURRAY M, 2021, Harv. LAW Rev.";"RACE-ING ROE: REPRODUCTIVE JUSTICE, RACIAL JUSTICE, AND THE BATTLE FOR ROE V. WADE";"RACE-ING ROE;ROE REPRODUCTIVE;REPRODUCTIVE JUSTICE;JUSTICE RACIAL;RACIAL JUSTICE"
"MURRELL KS, 2024, J MIDWIFERY WOMEN HEALTH";"SOCIAL SAFETY FOR BLACK WOMEN IN PERINATAL HEALTH CARE: A CONCEPT ANALYSIS";"SOCIAL SAFETY;BLACK WOMEN;PERINATAL HEALTH;HEALTH CARE;CONCEPT ANALYSIS"
"MUTCHERSON KM, 2020, FEMINIST JUDGMENTS: REPRODUCTIVE JUSTICE REWRITTEN";"FEMINIST JUDGMENTS: REPRODUCTIVE JUSTICE REWRITTEN INTRODUCTION AND OVERVIEW";"FEMINIST JUDGMENTS;JUDGMENTS REPRODUCTIVE;REPRODUCTIVE JUSTICE;JUSTICE REWRITTEN;REWRITTEN INTRODUCTION"
"MYKITIUK R, 2015, Int. Encycl. Soc. Behav. Sci. Second. Ed.";"REPRODUCTIVE RIGHTS IN AFFLUENT NATIONS";"REPRODUCTIVE RIGHTS;AFFLUENT NATIONS"
"NA NA, 2014, IN SEARCH OF COMMON GROUND ON ABORTION: FROM CULTURE WAR TO REPRODUCTIVE JUSTICE";"IN SEARCH OF COMMON GROUND ON ABORTION: FROM CULTURE WAR TO REPRODUCTIVE JUSTICE";"COMMON GROUND;CULTURE WAR;REPRODUCTIVE JUSTICE"
"NA NA, 2014, Reprod. Soc. Interdiscip. READINGS";"THE WAY FORWARD: MOVING TOWARD REPRODUCTIVE JUSTICE";"FORWARD MOVING;REPRODUCTIVE JUSTICE"
"NA NA, 2017, BABIES SALE?: Transnatl. SURROGACY Hum. RIGHTS POLITICS Reprod.";"A REPRODUCTIVE JUSTICE ANALYSIS OF GENETIC TECHNOLOGIES: REPORT OF A NATIONAL CONVENING OF WOMEN OF COLOUR AND INDIGENOUS WOMEN";"REPRODUCTIVE JUSTICE;JUSTICE ANALYSIS;GENETIC TECHNOLOGIES;TECHNOLOGIES REPORT;NATIONAL CONVENING;INDIGENOUS WOMEN"
"NA NA, 2017, Obstet. Gynecol.";"COMMITTEE OPINION NO. 695: STERILIZATION OF WOMEN: ETHICAL ISSUES AND CONSIDERATIONS";"COMMITTEE OPINION;WOMEN ETHICAL;ETHICAL ISSUES"
"NA NA, 2019, ROUTLEDGE Handb. Radic. POLITICS";"CRITIQUES: A RADICAL FEMINIST DIAS PORA: SPEAKING OF IMELDA, REPRODUCTIVE JUSTICE AND IRELAND";"RADICAL FEMINIST;FEMINIST DIAS;DIAS PORA;PORA SPEAKING;IMELDA REPRODUCTIVE;REPRODUCTIVE JUSTICE"
"NA NA, 2020, FEMINIST JUDGMENTS: REPRODUCTIVE JUSTICE REWRITTEN";"FEMINIST JUDGMENTS: REPRODUCTIVE JUSTICE REWRITTEN";"FEMINIST JUDGMENTS;JUDGMENTS REPRODUCTIVE;REPRODUCTIVE JUSTICE;JUSTICE REWRITTEN"
"NA NA, 2020, FEMINIST JUDGMENTS: REPRODUCTIVE JUSTICE REWRITTEN-a";"FEMINIST JUDGMENTS: REPRODUCTIVE JUSTICE REWRITTEN PREFACE";"FEMINIST JUDGMENTS;JUDGMENTS REPRODUCTIVE;REPRODUCTIVE JUSTICE;JUSTICE REWRITTEN;REWRITTEN PREFACE"
"NA NA, 2024, INTO ABOLITIONIST Theatr. Guideb. Lib. Theatre-Mak.";"REFLECTIONS ON SECTION IV";"SECTION IV"
